| dtime      | temp      | humidity      |
| 20140130222907 | 150       | 41            |
| 20140130223007 | 150       | 41            |
| 20140130223053 | 150       | 41            |
| 20140130223138 | 150       | 41            |
| 20140130223223 | 150       | 41            |
| 20140130223309 | 150       | 41            |
| 20140130223354 | 150       | 41            |
| 20140130223424 | 150       | 41            |
| 20140130223439 | 150       | 41            |
| 20140130223555 | 150       | 41            |
| 20140130223625 | 150       | 41            |
| 20140130223655 | 140       | 42            |
| 20140130223740 | 140       | 42            |
| 20140130223826 | 140       | 42            |
| 20140130223841 | 140       | 42            |
| 20140130223911 | 140       | 42            |
| 20140130223926 | 140       | 42            |
| 20140130223956 | 140       | 42            |
| 20140130224012 | 140       | 42            |
| 20140130224042 | 140       | 42            |
| 20140130224127 | 140       | 42            |
| 20140130224142 | 140       | 42            |
| 20140130224212 | 140       | 42            |
| 20140130224228 | 140       | 42            |
| 20140130224258 | 140       | 42            |
| 20140130224313 | 140       | 42            |
| 20140130224845 | 140       | 42            |
| 20140130224931 | 140       | 42            |
| 20140130225016 | 140       | 42            |
| 20140130225031 | 140       | 42            |
| 20140130225102 | 140       | 42            |
| 20140130225117 | 140       | 42            |
| 20140130225147 | 140       | 42            |
| 20140130225232 | 140       | 42            |
| 20140130225247 | 140       | 42            |
| 20140130225317 | 140       | 42            |
| 20140130225332 | 140       | 42            |
| 20140130225403 | 140       | 42            |
| 20140130225418 | 140       | 42            |
| 20140130225448 | 140       | 42            |
| 20140130225534 | 140       | 42            |
| 20140130225619 | 140       | 42            |
| 20140130225634 | 140       | 42            |
| 20140130225704 | 140       | 42            |
| 20140130225719 | 140       | 42            |
| 20140130225820 | 140       | 42            |
| 20140130225905 | 140       | 42            |
| 20140130225950 | 140       | 42            |
| 20140130230036 | 140       | 42            |
| 20140130230121 | 140       | 42            |
| 20140130230437 | 140       | 42            |
| 20140130230523 | 150       | 41            |
| 20140130230608 | 150       | 41            |
| 20140130230638 | 150       | 41            |
| 20140130230724 | 150       | 41            |
| 20140130230739 | 150       | 41            |
| 20140130230809 | 150       | 41            |
| 20140130230824 | 150       | 41            |
| 20140130230854 | 150       | 41            |
| 20140130230940 | 150       | 41            |
| 20140130231025 | 150       | 41            |
| 20140130231040 | 150       | 41            |
| 20140130231110 | 150       | 41            |
| 20140130231126 | 150       | 41            |
| 20140130231211 | 150       | 41            |
| 20140130231256 | 150       | 41            |
| 20140130231311 | 150       | 41            |
| 20140130231342 | 150       | 41            |
| 20140130231357 | 150       | 41            |
| 20140130231427 | 150       | 41            |
| 20140130231512 | 150       | 41            |
| 20140130231613 | 150       | 41            |
| 20140130231643 | 150       | 41            |
| 20140130231658 | 150       | 41            |
| 20140130231728 | 150       | 41            |
| 20140130231814 | 150       | 41            |
| 20140130231844 | 150       | 41            |
| 20140130232100 | 150       | 41            |
| 20140130232145 | 150       | 41            |
| 20140130232230 | 150       | 41            |
| 20140130232316 | 150       | 41            |
| 20140130232401 | 150       | 41            |
| 20140130232446 | 150       | 41            |
| 20140130232532 | 150       | 41            |
| 20140130232617 | 150       | 41            |
| 20140130232702 | 140       | 42            |
| 20140130232717 | 140       | 42            |
| 20140130232748 | 140       | 42            |
| 20140130232803 | 140       | 42            |
| 20140130232833 | 140       | 42            |
| 20140130232918 | 140       | 42            |
| 20140130233004 | 140       | 42            |
| 20140130233019 | 140       | 42            |
| 20140130233049 | 140       | 42            |
| 20140130233134 | 140       | 42            |
| 20140130233149 | 140       | 42            |
| 20140130233219 | 140       | 42            |
| 20140130233250 | 140       | 42            |
| 20140130233335 | 140       | 42            |
| 20140130233938 | 140       | 42            |
